EmployeeID,FirstName,LastName,Age,Gender,DepartmentID,JobRoleID,EducationID,Salary,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,PerformanceRating,WorkLifeBalance,HireDate,TerminationDate,EmployeeStatus,Attrition,TerminationReason
100096,Javier,Ramirez,31,Male,2,7,5,111800,9320,8.3,0.0,No,24,4,3,3,3,2018-04-03,,Active,No,
100097,Danielle,Leblanc,28,Female,1,4,5,128000,10670,0.2,0.2,No,4,2,4,4,4,2026-04-13,,Active,No,
100098,Jeremy,Callahan,46,Male,4,14,1,79900,6660,6.6,2.9,Yes,9,4,3,2,3,2019-12-09,,Active,No,
100099,Krista,Williams,46,Female,9,34,3,93500,7790,3.3,3.3,No,4,4,4,3,3,2023-03-21,,Active,No,
100100,Zachary,Huff,38,Male,6,22,3,56200,4680,0.7,0.7,No,9,3,2,3,3,2025-05-26,2026-02-09,Terminated,Yes,Family / Personal Reasons
100101,Tracy,House,18,Female,4,17,3,123600,10300,1.6,0.1,No,3,3,3,3,3,2024-11-30,,Active,No,
100102,Sarah,Martin,34,Female,6,23,1,58900,4910,6.7,1.1,No,1,2,2,3,2,2019-10-23,,Active,No,
100103,John,Lewis,51,Male,2,5,3,76900,6410,0.3,0.3,Yes,9,3,4,3,2,2026-03-16,2026-07-06,Terminated,Yes,Family / Personal Reasons
100104,Jennifer,Brown,31,Female,6,23,5,84800,7070,2.3,2.3,Yes,17,2,3,3,3,2024-04-03,,Active,No,
100105,James,Galloway,44,Male,2,6,4,82200,6850,1.4,1.4,No,1,3,3,3,2,2025-03-01,,Active,No,
100106,Derek,Bowers,48,Male,2,7,2,76400,6370,1.2,1.2,No,5,2,4,3,3,2025-04-20,,Active,No,
100107,Jesse,Henderson,39,Male,5,19,3,65300,5440,0.2,0.2,Yes,17,3,2,2,3,2026-04-27,,Active,No,
100108,Tyler,Cowan,31,Male,1,1,4,75700,6310,2.6,1.9,No,3,4,4,3,3,2023-12-06,,Active,No,
100109,Kristi,Higgins,37,Female,3,11,2,50400,4200,2.9,0.6,Yes,6,3,4,3,3,2023-08-21,,Active,No,
100110,Christopher,Phillips,31,Male,8,31,5,61400,5120,6.4,1.9,No,14,3,1,2,3,2020-01-28,,Active,No,
100111,Wayne,Riley,26,Male,6,22,2,57600,4800,6.8,2.0,No,2,3,3,4,3,2019-09-18,,Active,No,
100112,Kimberly,Adkins,33,Female,9,33,2,92400,7700,4.2,1.2,No,16,4,4,2,2,2022-05-02,,Active,No,
100113,Amy,Silva,27,Female,1,3,3,69000,5750,4.3,0.4,No,15,3,3,3,3,2022-04-07,,Active,No,
100114,Jonathan,Farrell,33,Male,2,7,1,56800,4730,0.3,0.3,No,6,3,2,3,3,2026-03-02,2026-06-04,Terminated,Yes,Return to Education
100115,Christopher,Yu,27,Male,4,13,4,102700,8560,0.5,0.1,Yes,42,4,4,2,2,2025-01-02,2025-07-09,Terminated,Yes,Return to Education
100116,Angela,Lopez,37,Female,5,18,4,78800,6570,2.4,0.9,No,7,3,2,3,4,2024-03-03,,Active,No,
100117,Linda,Leonard,48,Female,2,5,4,82800,6900,0.0,0.0,Yes,5,2,4,3,2,2026-07-01,2026-07-10,Terminated,Yes,Manager / Culture Fit
100118,David,Wilson,36,Male,2,5,3,77400,6450,1.5,1.5,No,1,2,3,3,3,2025-01-11,,Active,No,
100119,Stefanie,Sanchez,50,Female,2,6,5,102100,8510,3.8,0.9,No,9,2,4,4,1,2022-09-18,,Active,No,
100120,Linda,Harvey,44,Female,4,14,3,84200,7020,0.2,0.2,No,1,3,4,2,1,2026-05-09,,Active,No,
100121,Jason,Silva,24,Male,1,4,4,102600,8550,2.6,0.8,Yes,1,4,4,2,2,2023-11-09,2026-06-09,Terminated,Yes,Relocation
100122,Joseph,Donovan,23,Male,6,24,2,64600,5380,2.4,2.4,No,8,1,4,3,3,2024-03-03,,Active,No,
100123,Christina,Moran,51,Female,4,17,3,133000,11080,0.3,0.3,Yes,21,3,3,3,3,2026-03-09,,Active,No,
100124,Cynthia,Foster,34,Female,2,8,3,110800,9230,0.8,0.8,No,15,4,2,3,3,2025-09-10,,Active,No,
100125,Michael,Evans,43,Male,5,19,3,88200,7350,10.3,6.9,Yes,1,2,4,3,3,2016-03-24,,Active,No,
100126,Emily,Walton,39,Female,7,27,3,64700,5390,0.3,0.3,No,9,4,4,3,2,2025-08-27,2025-12-05,Terminated,Yes,Family / Personal Reasons
100127,Angel,Ellis,35,Female,9,34,2,79900,6660,2.0,2.0,Yes,7,3,4,1,3,2024-07-12,,Active,No,
100128,Yvette,Ferrell,29,Female,1,3,3,62200,5180,1.0,0.4,No,2,4,3,3,3,2025-07-19,,Active,No,
100129,Angel,Lewis,23,Female,4,16,1,62500,5210,2.4,1.1,Yes,12,3,3,2,3,2024-02-22,,Active,No,
100130,Deborah,Mahoney,56,Female,4,17,4,166800,13900,0.8,0.8,Yes,5,1,3,3,3,2025-09-30,,Active,No,
100131,Stanley,Suarez,26,Male,4,16,3,81000,6750,0.2,0.2,No,7,4,4,3,3,2026-04-18,,Active,No,
100132,Jaclyn,Moore,34,Female,6,22,3,57500,4790,2.1,2.1,No,1,3,1,3,1,2024-06-07,,Active,No,
100133,Roy,Warner,40,Male,4,14,3,88400,7370,5.1,4.6,No,1,3,3,2,2,2021-06-11,,Active,No,
100134,Lisa,Archer,52,Female,4,14,2,75700,6310,2.3,0.4,No,11,4,1,3,1,2024-03-15,,Active,No,
100135,Matthew,Smith,34,Male,2,5,4,89800,7480,1.5,1.5,No,1,1,1,2,4,2025-01-19,,Active,No,
100136,Robert,Evans,44,Male,2,7,4,95200,7930,8.1,2.1,Yes,22,3,2,4,3,2018-05-17,,Active,No,
100137,Matthew,Mcmillan,39,Male,5,18,5,85200,7100,2.3,1.1,Yes,1,2,2,3,4,2024-03-18,,Active,No,
100138,Chad,Wilson,41,Male,1,2,4,74800,6230,1.9,0.2,No,4,2,4,3,4,2024-08-04,,Active,No,
100139,Brian,Tran,42,Male,2,6,3,89900,7490,4.0,1.5,No,1,2,2,3,2,2022-06-24,,Active,No,
100140,Denise,Jacobs,40,Female,4,13,4,96000,8000,0.7,0.7,No,33,1,1,4,3,2025-11-07,,Active,No,
100141,Michelle,Harris,39,Female,4,13,3,82200,6850,3.7,3.7,No,1,2,4,3,3,2022-11-04,,Active,No,
100142,Mark,Baker,37,Male,2,5,4,97100,8090,3.5,1.0,No,15,2,4,3,2,2022-08-22,2026-02-12,Terminated,Yes,Return to Education
100143,John,Whitehead,56,Male,1,1,4,67100,5590,4.0,1.8,No,27,4,4,2,3,2022-07-07,,Active,No,
100144,Sarah,Davis,48,Female,3,9,4,78600,6550,0.2,0.2,No,1,4,3,3,3,2026-04-27,,Active,No,
100145,Jeff,Hill,18,Male,6,24,4,68500,5710,1.0,0.5,No,9,1,2,3,2,2025-07-08,,Active,No,
100146,Aaron,Wise,48,Male,6,22,4,81700,6810,1.4,1.4,Yes,8,4,3,2,3,2024-12-14,2026-04-22,Terminated,Yes,Return to Education
100147,Mandy,Green,45,Female,7,28,3,50800,4230,0.9,0.6,Yes,1,4,4,3,4,2025-08-17,,Active,No,
100148,Natalie,Arnold,40,Female,5,21,3,103900,8660,0.3,0.3,No,4,3,3,2,4,2026-03-27,,Active,No,
100149,Jeffrey,Smith,40,Male,1,2,4,70600,5880,0.9,0.9,No,11,1,4,3,3,2025-09-02,,Active,No,
100150,Benjamin,Ware,40,Male,2,6,3,82600,6880,0.0,0.0,No,2,2,2,2,3,2026-06-29,,Active,No,
100151,Stephanie,Gardner,46,Female,7,29,2,91100,7590,0.2,0.2,Yes,12,3,4,3,4,2026-04-27,2026-07-02,Terminated,Yes,Return to Education
100152,Sandra,Aguilar,46,Female,1,4,3,96500,8040,1.8,1.8,No,3,4,3,3,4,2024-09-23,,Active,No,
100153,Charles,Anderson,52,Male,4,16,3,87400,7280,0.3,0.3,No,5,4,3,3,3,2026-04-02,,Active,No,
100154,Eric,Nolan,29,Male,1,2,1,44400,3700,0.2,0.2,No,28,3,2,3,3,2026-02-25,2026-05-20,Terminated,Yes,Career Growth / Promotion Elsewhere
100155,Rebecca,Valencia,34,Female,1,1,3,56300,4690,1.8,0.9,No,21,1,3,3,2,2024-10-02,,Active,No,
100156,Stephanie,Clark,55,Female,7,29,2,80600,6720,0.8,0.8,No,4,4,4,3,3,2025-09-24,,Active,No,
100157,David,Garcia,32,Male,8,31,1,41200,3430,2.3,2.3,No,1,3,3,3,2,2024-03-29,,Active,No,
100158,Penny,Henson,34,Female,1,4,4,105600,8800,2.8,1.8,Yes,7,4,4,4,3,2023-09-23,,Active,No,
100159,Jason,Oliver,26,Male,1,4,3,92200,7680,0.9,0.9,Yes,6,1,3,3,3,2025-08-30,,Active,No,
100160,Brittany,Spears,30,Female,7,29,3,100700,8390,0.9,0.9,No,4,4,4,3,4,2025-08-15,,Active,No,
100161,Sharon,Cherry,49,Female,4,13,4,85700,7140,1.2,0.5,Yes,4,4,3,2,2,2025-05-14,,Active,No,
100162,Robert,Keith,31,Male,4,13,3,84700,7060,2.8,2.3,Yes,3,4,3,2,3,2023-09-27,,Active,No,
100163,Alexander,Doyle,42,Male,1,1,1,49400,4120,0.1,0.1,Yes,1,4,3,4,2,2026-06-12,2026-07-10,Terminated,Yes,Position Eliminated
100164,Evelyn,Galvan,39,Female,2,7,5,105700,8810,0.8,0.8,No,3,3,3,3,2,2025-09-07,,Active,No,
100165,Robert,Shields,34,Male,6,22,3,66500,5540,0.3,0.1,Yes,3,4,3,3,3,2025-12-28,2026-04-09,Terminated,Yes,Return to Education
100166,Robert,Adams,39,Male,4,14,3,88800,7400,0.6,0.6,No,1,3,2,4,4,2025-12-20,,Active,No,
100167,Rachel,Rodriguez,33,Female,4,14,3,91700,7640,5.2,5.2,No,1,4,3,3,4,2021-05-11,,Active,No,
100168,Shane,Garrison,43,Male,2,8,3,108400,9030,1.7,1.7,No,16,3,4,3,3,2024-11-07,,Active,No,
100169,Courtney,Velasquez,48,Female,2,6,1,66000,5500,5.3,1.5,No,5,4,1,3,3,2021-03-24,,Active,No,
100170,Joe,Torres,33,Male,5,21,4,118700,9890,0.6,0.6,Yes,25,4,4,3,4,2025-09-19,2026-05-01,Terminated,Yes,Layoff / Restructuring
100171,Rebecca,Perez,41,Female,6,24,3,60800,5070,1.3,1.3,Yes,7,3,1,3,3,2022-12-11,2024-03-30,Terminated,Yes,Manager / Culture Fit
100172,Alexander,Lee,37,Male,6,23,1,55100,4590,1.4,1.4,Yes,9,1,3,3,2,2024-10-24,2026-03-15,Terminated,Yes,Performance
100173,Garrett,Lin,34,Male,2,8,2,112700,9390,2.5,2.5,No,7,4,2,3,4,2024-01-02,,Active,No,
100174,Tracy,Ramirez,30,Female,4,17,3,136200,11350,3.1,3.1,No,13,3,2,3,3,2023-06-10,,Active,No,
100175,Martin,Ross,40,Male,2,5,4,79800,6650,0.3,0.0,Yes,5,2,4,3,1,2025-08-01,2025-11-16,Terminated,Yes,Better Compensation Elsewhere
100176,William,Herrera,34,Male,2,5,4,81000,6750,0.9,0.9,No,17,4,3,2,4,2025-08-06,,Active,No,
100177,Teresa,Wilson,51,Female,4,13,1,62800,5230,0.4,0.4,No,8,4,4,3,3,2026-01-27,2026-06-10,Terminated,Yes,Return to Education
100178,Wesley,White,40,Male,1,2,3,58900,4910,1.5,0.6,No,3,1,4,3,3,2025-01-06,,Active,No,
100179,Tonya,Baker,33,Female,2,8,2,126000,10500,2.8,2.8,Yes,2,4,4,3,2,2023-09-25,,Active,No,
100180,Brian,Hamilton,38,Male,5,21,3,104300,8690,0.1,0.1,Yes,5,4,1,3,3,2026-05-18,2026-06-19,Terminated,Yes,Manager / Culture Fit
100181,Monica,Edwards,44,Female,4,14,1,57800,4820,1.5,1.5,No,5,2,4,3,3,2024-12-26,,Active,No,
100182,Larry,Dixon,34,Male,1,4,1,78800,6570,0.9,0.9,No,5,3,1,3,2,2025-09-01,,Active,No,
100183,James,Ray,43,Male,7,26,3,60000,5000,0.9,0.2,Yes,2,3,4,2,3,2025-08-20,,Active,No,
100184,David,Fletcher,42,Male,8,30,3,46700,3890,0.6,0.5,No,1,4,3,3,2,2025-11-23,,Active,No,
100185,Aaron,Frost,25,Male,2,8,4,142700,11890,0.8,0.8,No,17,1,2,3,1,2025-09-05,,Active,No,
100186,Joshua,Ball,37,Male,1,1,3,63700,5310,2.8,0.2,No,2,3,3,2,3,2023-09-20,,Active,No,
100187,Patrick,Lambert,41,Male,3,12,5,119500,9960,0.5,0.5,No,42,4,3,3,2,2025-12-25,,Active,No,
100188,Jackson,Jones,38,Male,1,3,4,76000,6330,5.9,5.9,No,25,4,4,3,2,2020-08-24,,Active,No,
100189,Matthew,Rivera,50,Male,2,8,3,130000,10830,1.2,1.2,Yes,1,3,4,3,2,2022-11-19,2024-02-09,Terminated,Yes,Policy Violation
100190,Erik,Charles,35,Male,5,21,3,102800,8570,2.7,0.5,No,2,4,4,3,1,2023-11-06,,Active,No,
100191,Michelle,Evans,39,Female,2,8,3,115200,9600,1.1,1.1,No,2,3,4,3,2,2025-06-08,,Active,No,
100192,Eric,Ortiz,22,Male,1,2,1,49900,4160,0.5,0.5,No,2,3,3,3,3,2026-01-18,,Active,No,
100193,Jennifer,Phillips,44,Female,2,6,4,85000,7080,1.3,1.3,No,5,2,3,3,2,2025-03-08,,Active,No,
100194,Cameron,Fisher,37,Male,2,7,4,97100,8090,4.5,1.0,No,9,4,2,3,4,2022-01-26,,Active,No,
100195,Todd,Byrd,43,Male,3,10,5,59600,4970,0.6,0.6,Yes,2,1,4,3,4,2025-11-22,,Active,No,
100196,Steven,Gilbert,34,Male,6,22,3,69100,5760,3.1,3.1,No,1,4,4,3,4,2023-06-14,,Active,No,
100197,Eric,Kelley,31,Male,4,17,4,153800,12820,0.4,0.4,No,7,1,2,3,3,2026-01-27,,Active,No,
100198,Aaron,Mitchell,37,Male,6,22,3,62000,5170,6.7,4.4,No,9,3,4,3,3,2019-11-13,,Active,No,
100199,Jeffrey,Carpenter,31,Male,2,7,3,88000,7330,9.5,4.9,No,9,3,4,3,3,2017-01-22,,Active,No,
100200,Matthew,Marshall,30,Male,6,22,4,79000,6580,0.0,0.0,No,28,2,4,3,3,2026-06-30,,Active,No,
100201,Jessica,Lewis,54,Female,1,1,2,57400,4780,4.0,2.0,Yes,4,4,2,3,2,2022-07-23,,Active,No,
100202,Kara,Santana,30,Female,5,21,3,120700,10060,4.4,4.4,No,1,1,3,3,2,2022-02-12,,Active,No,
100203,Robert,Jackson,48,Male,4,17,1,107400,8950,3.8,1.3,No,4,3,1,4,3,2022-10-01,,Active,No,
